"CU_Name","CU_acro","DU_ID","CU_ID","Pop_Name","Pop_ID","Year","EstClass","TotalInfilled","StartYear","UseYear"
"South Thompson-Bessette Creek_SU_1.2","STh-BESS","DU14","CK-16","CREIGHTON CREEK",812,2016,"RELATIVE ABUNDANCE (TYPE-4)",0,NA,TRUE
"South Thompson-Bessette Creek_SU_1.2","STh-BESS","DU14","CK-16","CREIGHTON CREEK",812,2017,"RELATIVE ABUNDANCE (TYPE-3)",0,NA,TRUE
"South Thompson-Bessette Creek_SU_1.2","STh-BESS","DU14","CK-16","CREIGHTON CREEK",812,2018,"RELATIVE ABUNDANCE (TYPE-4)",0,NA,TRUE
"South Thompson-Bessette Creek_SU_1.2","STh-BESS","DU14","CK-16","CREIGHTON CREEK",812,2019,"RELATIVE ABUNDANCE (TYPE-4)",0,NA,TRUE
"South Thompson-Bessette Creek_SU_1.2","STh-BESS","DU14","CK-16","CREIGHTON CREEK",812,2021,"RELATIVE ABUNDANCE (TYPE-4)",0,NA,TRUE
"South Thompson-Bessette Creek_SU_1.2","STh-BESS","DU14","CK-16","CREIGHTON CREEK",812,2022,"RELATIVE ABUNDANCE (TYPE-4)",0,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,1975,"QualFiltered",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,1977,"QualFiltered",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,1979,"QualFiltered",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,1981,"QualFiltered",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,1982,"QualFiltered",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,1983,"QualFiltered",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,1984,"QualFiltered",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,1985,"QualFiltered",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,1986,"QualFiltered",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,1987,"QualFiltered",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,1988,"QualFiltered",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,1989,"QualFiltered",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,1990,"QualFiltered",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,1991,"QualFiltered",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,1992,"QualFiltered",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,1993,"QualFiltered",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,1994,"QualFiltered",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,1996,"QualFiltered",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,1998,"RELATIVE ABUNDANCE (TYPE-4)",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,2000,"RELATIVE ABUNDANCE (TYPE-4)",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,2001,"RELATIVE ABUNDANCE (TYPE-4)",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,2002,"QualFiltered",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,2003,"RELATIVE ABUNDANCE (TYPE-4)",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,2004,"RELATIVE ABUNDANCE (TYPE-4)",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,2005,"RELATIVE ABUNDANCE (TYPE-4)",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,2006,"RELATIVE ABUNDANCE (TYPE-4)",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,2007,"RELATIVE ABUNDANCE (TYPE-4)",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,2008,"RELATIVE ABUNDANCE (TYPE-4)",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,2009,"RELATIVE ABUNDANCE (TYPE-4)",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,2010,"RELATIVE ABUNDANCE (TYPE-4)",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,2011,"RELATIVE ABUNDANCE (TYPE-4)",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,2012,"RELATIVE ABUNDANCE (TYPE-4)",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,2013,"RELATIVE ABUNDANCE (TYPE-4)",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,2014,"RELATIVE ABUNDANCE (TYPE-4)",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,2015,"RELATIVE ABUNDANCE (TYPE-4)",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,2016,"RELATIVE ABUNDANCE (TYPE-4)",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,2017,"RELATIVE ABUNDANCE (TYPE-4)",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,2018,"RELATIVE ABUNDANCE (TYPE-4)",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","EAST TWIN CREEK",926,2021,"QualFiltered",NA,NA,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","HOLLIDAY CREEK",1207,1995,"INFILL",56.5664944961642,1995,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","HOLLIDAY CREEK",1207,1996,"INFILL",39.5100822842024,1995,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","HOLLIDAY CREEK",1207,1997,"INFILL",42.6361596517166,1995,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","HOLLIDAY CREEK",1207,1998,"RELATIVE ABUNDANCE (TYPE-4)",18,1995,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","HOLLIDAY CREEK",1207,1999,"INFILL",26.1226066044039,1995,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","HOLLIDAY CREEK",1207,2000,"RELATIVE ABUNDANCE (TYPE-4)",15,1995,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","HOLLIDAY CREEK",1207,2001,"RELATIVE ABUNDANCE (TYPE-4)",74,1995,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","HOLLIDAY CREEK",1207,2002,"RELATIVE ABUNDANCE (TYPE-4)",126,1995,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","HOLLIDAY CREEK",1207,2003,"RELATIVE ABUNDANCE (TYPE-4)",48,1995,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","HOLLIDAY CREEK",1207,2004,"RELATIVE ABUNDANCE (TYPE-4)",54,1995,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","HOLLIDAY CREEK",1207,2005,"RELATIVE ABUNDANCE (TYPE-4)",17,1995,TRUE
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","HOLLIDAY CREEK",1207,2006,"RELATIVE ABUNDANCE (TYPE-4)",72,1995,TRUE
