"CU","SiteName","popID","rtnYear","EstClass","MissEscCode","SumSpnEstimates_ADonly","SumSpnEstimates_ADinfilled","NatSpwnAD","NatSpwnJA","NatSpwnUNK","BroodStockAD","BroodStockJA","BroodStockUNK","TotRtnRiver","HatchOriginAD","HatchOriginJA","SumSpnEstimates_withJacks","SumSpnEstimates_pC","Comment","EstClassOrig"
"CK-12","EAST TWIN CREEK",926,1983,"QualFiltered","","","","10","","","","","","","","","","","","QualFiltered"
"CK-12","EAST TWIN CREEK",926,1984,"QualFiltered","","","","45","","","","","","","","","","","","QualFiltered"
"CK-12","EAST TWIN CREEK",926,1985,"QualFiltered","","","","50","","","","","","","","","","","","QualFiltered"
"CK-12","EAST TWIN CREEK",926,1986,"QualFiltered","","","","50","","","","","","","","","","","","QualFiltered"
"CK-12","EAST TWIN CREEK",926,1987,"QualFiltered","","","","105","","","","","","","","","","","","QualFiltered"
"CK-12","EAST TWIN CREEK",926,1988,"QualFiltered","","","","70","","","","","","","","","","","","QualFiltered"
"CK-12","EAST TWIN CREEK",926,1989,"QualFiltered","","","","20","","","","","","","","","","","","QualFiltered"
"CK-12","EAST TWIN CREEK",926,1990,"QualFiltered","","","","70","","","","","","","","","","","","QualFiltered"
"CK-12","EAST TWIN CREEK",926,1991,"QualFiltered","","","","42","","","","","","","","","","","","QualFiltered"
"CK-12","EAST TWIN CREEK",926,1992,"QualFiltered","","","","50","","","","","","","","","","","","QualFiltered"
"CK-12","EAST TWIN CREEK",926,1993,"QualFiltered","","","","60","","","","","","","","","","","","QualFiltered"
"CK-12","EAST TWIN CREEK",926,1994,"QualFiltered","","","","43","","","","","","","","","","","","QualFiltered"
"CK-12","EAST TWIN CREEK",926,1996,"QualFiltered","","","","15","","","","","","","","","","","","QualFiltered"
"CK-12","EAST TWIN CREEK",926,1998,"RELATIVE ABUNDANCE (TYPE-4)","","64","","64","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-4)"
"CK-12","EAST TWIN CREEK",926,2000,"RELATIVE ABUNDANCE (TYPE-4)","","18","","18","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-4)"
"CK-12","EAST TWIN CREEK",926,2001,"RELATIVE ABUNDANCE (TYPE-4)","","35","","35","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-4)"
"CK-12","EAST TWIN CREEK",926,2002,"QualFiltered","","","","51","","","","","","","","","","","","QualFiltered"
"CK-12","EAST TWIN CREEK",926,2003,"RELATIVE ABUNDANCE (TYPE-4)","","52","","52","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-4)"
"CK-12","EAST TWIN CREEK",926,2004,"RELATIVE ABUNDANCE (TYPE-4)","","62","","62","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-4)"
"CK-12","EAST TWIN CREEK",926,2005,"RELATIVE ABUNDANCE (TYPE-4)","","12","","12","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-4)"
"CK-12","EAST TWIN CREEK",926,2006,"RELATIVE ABUNDANCE (TYPE-4)","","25","","25","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-4)"
"CK-12","EAST TWIN CREEK",926,2007,"RELATIVE ABUNDANCE (TYPE-4)","","6","","6","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-4)"
"CK-12","EAST TWIN CREEK",926,2008,"RELATIVE ABUNDANCE (TYPE-4)","","5","","5","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-4)"
"CK-12","EAST TWIN CREEK",926,2009,"RELATIVE ABUNDANCE (TYPE-4)","","94","","94","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-4)"
"CK-12","EAST TWIN CREEK",926,2010,"RELATIVE ABUNDANCE (TYPE-4)","","9","","9","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-4)"
"CK-12","EAST TWIN CREEK",926,2011,"RELATIVE ABUNDANCE (TYPE-4)","","6","","6","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-4)"
"CK-12","EAST TWIN CREEK",926,2012,"RELATIVE ABUNDANCE (TYPE-4)","","23","","23","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-4)"
"CK-12","EAST TWIN CREEK",926,2013,"RELATIVE ABUNDANCE (TYPE-4)","","35","","35","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-4)"
"CK-12","EAST TWIN CREEK",926,2014,"RELATIVE ABUNDANCE (TYPE-4)","","37","","37","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-4)"
"CK-12","EAST TWIN CREEK",926,2015,"RELATIVE ABUNDANCE (TYPE-4)","","6","","6","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-4)"
"CK-12","EAST TWIN CREEK",926,2016,"RELATIVE ABUNDANCE (TYPE-4)","","9","","9","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-4)"
"CK-12","EAST TWIN CREEK",926,2017,"RELATIVE ABUNDANCE (TYPE-4)","","28","","28","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-4)"
"CK-12","EAST TWIN CREEK",926,2018,"RELATIVE ABUNDANCE (TYPE-4)","","20","","20","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-4)"
"CK-12","HOLLIDAY CREEK",1207,1995,"INFILL","","","75.3043368460472","8","","","","","","","","","","","","QualFiltered"
"CK-12","HOLLIDAY CREEK",1207,1996,"INFILL","","","44.0592585792205","14","","","","","","","","","","","","QualFiltered"
"CK-12","HOLLIDAY CREEK",1207,1997,"INFILL","","","48.7347965779975","45","","","","","","","","","","","","QualFiltered"
"CK-12","HOLLIDAY CREEK",1207,1998,"RELATIVE ABUNDANCE (TYPE-4)","","18","18","18","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-4)"
"CK-12","HOLLIDAY CREEK",1207,1999,"INFILL","","","28.2091568476539","","","","","","","","","","","","","QualFiltered"
"CK-12","HOLLIDAY CREEK",1207,2000,"RELATIVE ABUNDANCE (TYPE-4)","","15","15","15","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-4)"
"CK-12","HOLLIDAY CREEK",1207,2001,"RELATIVE ABUNDANCE (TYPE-4)","","74","74","74","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-4)"
