,Year,CU_ID,Species,Stock,Label,Metric,Compare,LBM,UBM,Value,Status
183,2015,CK-06,Chinook,Lower Fraser River_SU_1.3,SpnForAbd_Wild,RelUBM,89.94395203,NA,NA,NA,NA
184,2016,CK-06,Chinook,Lower Fraser River_SU_1.3,SpnForAbd_Wild,RelUBM,110.2645976,NA,NA,NA,NA
185,2017,CK-06,Chinook,Lower Fraser River_SU_1.3,SpnForAbd_Wild,RelUBM,124.4089587,NA,NA,NA,NA
186,2018,CK-06,Chinook,Lower Fraser River_SU_1.3,SpnForAbd_Wild,RelUBM,93.37702513,NA,NA,NA,NA
187,2010,CK-06,Chinook,Lower Fraser River_SU_1.3,SpnForAbd_Wild,AbsUBM,54.26908361,1000,10000,0.005426908,Red
188,2011,CK-06,Chinook,Lower Fraser River_SU_1.3,SpnForAbd_Wild,AbsUBM,49.97446301,1000,10000,0.004997446,Red
189,2012,CK-06,Chinook,Lower Fraser River_SU_1.3,SpnForAbd_Wild,AbsUBM,53.14942617,1000,10000,0.005314943,Red
190,2013,CK-06,Chinook,Lower Fraser River_SU_1.3,SpnForAbd_Wild,AbsUBM,67.26688339,1000,10000,0.006726688,Red
191,2014,CK-06,Chinook,Lower Fraser River_SU_1.3,SpnForAbd_Wild,AbsUBM,62.15358148,1000,10000,0.006215358,Red
192,2015,CK-06,Chinook,Lower Fraser River_SU_1.3,SpnForAbd_Wild,AbsUBM,89.94395203,1000,10000,0.008994395,Red
193,2016,CK-06,Chinook,Lower Fraser River_SU_1.3,SpnForAbd_Wild,AbsUBM,110.2645976,1000,10000,0.01102646,Red
194,2017,CK-06,Chinook,Lower Fraser River_SU_1.3,SpnForAbd_Wild,AbsUBM,124.4089587,1000,10000,0.012440896,Red
195,2018,CK-06,Chinook,Lower Fraser River_SU_1.3,SpnForAbd_Wild,AbsUBM,93.37702513,1000,10000,0.009337703,Red
196,2010,CK-06,Chinook,Lower Fraser River_SU_1.3,SpnForAbd_Wild,IntStatus,NA,NA,NA,NA,NA
