"CU_Name","Year","SpnForTrend_Total","CU_ID","Dataset","Species","SpnForAbd_Total","SpnForAbd_Wild","SpnForTrend_Wild","Recruits_Total","Recruits_Wild","DU_ID"
"Upper Knight",1983,1037.806461,"CM-09","Cm_ISC","Chum",1037.806461,1037.806461,1037.806461,"NA","NA","NA"
"Upper Knight",1984,NA,"CM-09","Cm_ISC","Chum",NA,NA,NA,"NA","NA","NA"
"Upper Knight",1985,15.4566201,"CM-09","Cm_ISC","Chum",15.4566201,15.4566201,15.4566201,"NA","NA","NA"
"Upper Knight",1986,5890.044145,"CM-09","Cm_ISC","Chum",5890.044145,5890.044145,5890.044145,"NA","NA","NA"
"Upper Knight",1987,3435.859085,"CM-09","Cm_ISC","Chum",3435.859085,3435.859085,3435.859085,"NA","NA","NA"
"Upper Knight",1988,2945.022073,"CM-09","Cm_ISC","Chum",2945.022073,2945.022073,2945.022073,"NA","NA","NA"
"Upper Knight",1989,NA,"CM-09","Cm_ISC","Chum",NA,NA,NA,"NA","NA","NA"
"Upper Knight",1990,2699.603567,"CM-09","Cm_ISC","Chum",2699.603567,2699.603567,2699.603567,"NA","NA","NA"
"Upper Knight",1991,NA,"CM-09","Cm_ISC","Chum",NA,NA,NA,"NA","NA","NA"
"Upper Knight",1992,148.2580658,"CM-09","Cm_ISC","Chum",148.2580658,148.2580658,148.2580658,"NA","NA","NA"
"Upper Knight",1993,1114.900655,"CM-09","Cm_ISC","Chum",1114.900655,1114.900655,1114.900655,"NA","NA","NA"
"Upper Knight",1994,148.2580658,"CM-09","Cm_ISC","Chum",148.2580658,148.2580658,148.2580658,"NA","NA","NA"
"Upper Knight",1995,237.2129054,"CM-09","Cm_ISC","Chum",237.2129054,237.2129054,237.2129054,"NA","NA","NA"
"Upper Knight",1996,NA,"CM-09","Cm_ISC","Chum",NA,NA,NA,"NA","NA","NA"
"Upper Knight",1997,2223.870988,"CM-09","Cm_ISC","Chum",2223.870988,2223.870988,2223.870988,"NA","NA","NA"
"Upper Knight",1998,14148.26722,"CM-09","Cm_ISC","Chum",14148.26722,14148.26722,14148.26722,"NA","NA","NA"
"Upper Knight",1999,131.9496786,"CM-09","Cm_ISC","Chum",131.9496786,131.9496786,131.9496786,"NA","NA","NA"
"Upper Knight",2000,3716.829711,"CM-09","Cm_ISC","Chum",3716.829711,3716.829711,3716.829711,"NA","NA","NA"
"Upper Knight",2001,515.9380691,"CM-09","Cm_ISC","Chum",515.9380691,515.9380691,515.9380691,"NA","NA","NA"
"Upper Knight",2002,3706.451646,"CM-09","Cm_ISC","Chum",3706.451646,3706.451646,3706.451646,"NA","NA","NA"
"Upper Knight",2003,7578.952326,"CM-09","Cm_ISC","Chum",7578.952326,7578.952326,7578.952326,"NA","NA","NA"
"Upper Knight",2004,NA,"CM-09","Cm_ISC","Chum",NA,NA,NA,"NA","NA","NA"
"Upper Knight",2005,NA,"CM-09","Cm_ISC","Chum",NA,NA,NA,"NA","NA","NA"
"Upper Knight",2006,NA,"CM-09","Cm_ISC","Chum",NA,NA,NA,"NA","NA","NA"
"Upper Knight",2007,NA,"CM-09","Cm_ISC","Chum",NA,NA,NA,"NA","NA","NA"
"Upper Knight",2008,NA,"CM-09","Cm_ISC","Chum",NA,NA,NA,"NA","NA","NA"
"Upper Knight",2009,NA,"CM-09","Cm_ISC","Chum",NA,NA,NA,"NA","NA","NA"
"Upper Knight",2010,NA,"CM-09","Cm_ISC","Chum",NA,NA,NA,"NA","NA","NA"
"Upper Knight",2011,NA,"CM-09","Cm_ISC","Chum",NA,NA,NA,"NA","NA","NA"
"Upper Knight",2012,NA,"CM-09","Cm_ISC","Chum",NA,NA,NA,"NA","NA","NA"
"Upper Knight",2013,NA,"CM-09","Cm_ISC","Chum",NA,NA,NA,"NA","NA","NA"
"Upper Knight",2014,NA,"CM-09","Cm_ISC","Chum",NA,NA,NA,"NA","NA","NA"
"Upper Knight",2015,NA,"CM-09","Cm_ISC","Chum",NA,NA,NA,"NA","NA","NA"
"Upper Knight",2016,NA,"CM-09","Cm_ISC","Chum",NA,NA,NA,"NA","NA","NA"
"Upper Knight",2017,NA,"CM-09","Cm_ISC","Chum",NA,NA,NA,"NA","NA","NA"
"Upper Knight",2018,NA,"CM-09","Cm_ISC","Chum",NA,NA,NA,"NA","NA","NA"
"Loughborough",1953,26635.36272,"CM-06","Cm_ISC","Chum",26635.36272,26635.36272,26635.36272,"NA","NA","NA"
"Loughborough",1954,33399.97258,"CM-06","Cm_ISC","Chum",33399.97258,33399.97258,33399.97258,"NA","NA","NA"
"Loughborough",1955,10664.29656,"CM-06","Cm_ISC","Chum",10664.29656,10664.29656,10664.29656,"NA","NA","NA"
"Loughborough",1956,14990.69669,"CM-06","Cm_ISC","Chum",14990.69669,14990.69669,14990.69669,"NA","NA","NA"
"Loughborough",1957,56670.69905,"CM-06","Cm_ISC","Chum",56670.69905,56670.69905,56670.69905,"NA","NA","NA"
"Loughborough",1958,38411.51308,"CM-06","Cm_ISC","Chum",38411.51308,38411.51308,38411.51308,"NA","NA","NA"
"Loughborough",1959,23961.31056,"CM-06","Cm_ISC","Chum",23961.31056,23961.31056,23961.31056,"NA","NA","NA"
"Loughborough",1960,8602.431679,"CM-06","Cm_ISC","Chum",8602.431679,8602.431679,8602.431679,"NA","NA","NA"
"Loughborough",1961,24633.22877,"CM-06","Cm_ISC","Chum",24633.22877,24633.22877,24633.22877,"NA","NA","NA"
"Loughborough",1962,20694.76095,"CM-06","Cm_ISC","Chum",20694.76095,20694.76095,20694.76095,"NA","NA","NA"
"Loughborough",1963,64272.10706,"CM-06","Cm_ISC","Chum",64272.10706,64272.10706,64272.10706,"NA","NA","NA"
