"","Year","Horsefly Channel","Horsefly River","Horsefly River - Above Falls","Horsefly River, lower","Horsefly River, upper","McKinley Creek","McKinley Creek, lower","McKinley Creek, upper","Cameron Creek","Mitchell River","Penfold Creek","CU_Data[, !is.na(match(colnames(CU_Data), levels(as.factor(CU_Q$Quesnel_S_Little))))]","Baxter Beach","Bear Beach - Shore","Betty Frank's - Shore","Big Slide - Shore","Big Slide, 1 km. West - shore","Bill Miner Cr. - Shore","Bill Miner Cr. - Shore 3 km west","Blue Lead Cr. - Shore","Bouldery Cr. - Shore","Bouldery Cr. - Shore 2 km east","Bowling Point","Deception Point","Devoe Creek - Shore","Double T - Shore","East Arm - unnamed creek 1","East Arm - unnamed creek 2 - shore","East Arm - unnamed point","Elysia - Shore","Elysia shore - 1 km west","Franks Creek - shore","Goose Point - Shore","Goose Pt., .8 km south - shore","Goose Pt., 5 km south - shore","Grain Cr. - Shore","Horsefly Lake","Hurricane Point","Junction Shore","Killdog Creek - Shore","Lester Shore","Limestone Point - Shore","Limestone Pt, .5 km south - shore","Logger Landing","Long Cr. - Shore","Lynx Cr. - Shore","Marten Cr. - Shore","North Arm - shore, Bowling to Goose Pt.","North Arm - shore, Roaring to Deception Pt.","North Arm - unnamed cove","Opa Beach","Penfold Camp Shore","Quartz Point","Quesnel Lake","Roaring Point","Roaring R. - Shore","Slate Bay","Slate Bay, 1 km east","Tasse Creek - shore","Wasko Creek - shore","Watt Cr. - Shore"
"41",1990,11744,NA,NA,43358,173432,NA,6185,206,719,21081,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",1991,11139,NA,NA,2877,7000,NA,0,NA,NA,3845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",1992,898,NA,NA,807,1341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",1993,11083,993519,NA,NA,NA,NA,79627,4248,18084,364115,95,14280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3305,489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",1994,11539,262551,NA,NA,NA,NA,14372,583,2485,61094,1,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",1995,9349,88260,NA,NA,NA,NA,267,0,NA,18991,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",1996,5534,12282,NA,NA,NA,NA,5,NA,0,3896,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",1997,NA,489410,NA,NA,NA,NA,78753,2738,6838,256117,2411,13248,NA,597,284,514,NA,194,18,3765,210,18,3226,19622,73,NA,NA,NA,NA,NA,222,NA,2044,NA,NA,203,2,NA,NA,NA,NA,240,NA,NA,837,127,64,NA,NA,NA,NA,NA,NA,NA,NA,2169,91,NA,25,NA,1374
"49",1998,11736,321884,NA,NA,NA,28430,NA,NA,4627,153370,264,2366,NA,30,0,0,NA,43,0,729,5,10,143,2841,0,NA,NA,NA,NA,NA,0,NA,777,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,52,0,NA,NA,NA,NA,NA,NA,NA,NA,120,0,NA,NA,NA,0
"50",1999,3086,72077,NA,NA,NA,NA,548,32,134,29387,63,256,NA,1,3,0,NA,21,0,176,0,0,1,173,0,NA,NA,NA,NA,NA,0,NA,94,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,43,0,NA,NA,NA,5
"51",2000,513,19982,NA,NA,NA,NA,272,0,17,16073,0,70,NA,NA,NA,0,NA,0,NA,14,0,NA,0,15,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1
"52",2001,NA,871423,NA,NA,NA,NA,120221,3327,32122,482142,22325,5169,107,4628,1200,1455,19,362,366,5996,3847,355,6392,73584,469,326,336,32,882,69,334,317,8953,338,317,4095,NA,97,2086,29,628,383,619,61,3104,477,554,98,210,4002,60,140,41,NA,286,4377,105,427,69,87,2421
"53",2002,NA,NA,NA,NA,NA,NA,NA,NA,11778,415452,10905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",2003,11094,79995,NA,NA,NA,1937,NA,NA,593,50548,394,339,0,0,0,NA,NA,10,0,324,9,0,0,795,0,NA,0,NA,NA,NA,NA,3,140,0,0,0,NA,NA,NA,0,0,0,0,0,0,148,0,0,0,0,0,0,0,NA,0,44,NA,NA,0,0,34
"55",2004,0,2604,NA,NA,NA,NA,81,0,0,3534,0,235,NA,NA,NA,0,NA,0,0,3,NA,NA,0,50,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0
"56",2005,NA,324209,NA,NA,NA,81513,NA,NA,NA,NA,NA,19843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16591,337,NA,NA,NA,NA,45,151,NA,NA,NA,NA,2667,NA,NA,1087,NA,NA,NA,NA,NA,2627,NA,NA,NA,NA,2090,85,NA,NA,NA,NA,2221,NA,NA,167,60,NA
