"","CU_name","Return.Year","TribDeme","Estimate"
"1352","North Thompson",1993,"Reg Christie Cr",4
"1353","North Thompson",1993,"Saskum Cr",7
"1354","North Thompson",1993,"Shannon Cr",83
"1355","North Thompson",1993,"Tumtum Cr",50
"1356","North Thompson",1993,"Wire Cache Cr",62
"1357","North Thompson",1994,"Albreda R",1423
"1358","North Thompson",1994,"Avola Cr",522
"1359","North Thompson",1994,"Barriere R",1041
"1360","North Thompson",1994,"Barriere R (lwr)",NA
"1361","North Thompson",1994,"Barriere R (upr)",NA
"1362","North Thompson",1994,"Birch Island Channel",125
"1363","North Thompson",1994,"Blue R",1092
"1364","North Thompson",1994,"Cedar Cr",92
"1365","North Thompson",1994,"Cook Cr",230
"1366","North Thompson",1994,"Darlington Cr",6
"1367","North Thompson",1994,"Dunn Cr",1290
"1368","North Thompson",1994,"E Barriere R",210
"1369","North Thompson",1994,"Fennell Cr",207
"1370","North Thompson",1994,"Finn Cr",229
"1371","North Thompson",1994,"Haggard Cr",15
"1372","North Thompson",1994,"Harper Cr",11
"1373","North Thompson",1994,"Lemieux Cr",2934
"1374","North Thompson",1994,"Lindquist Cr",6
"1375","North Thompson",1994,"Louis Cr",1073
"1376","North Thompson",1994,"Lyon Cr",622
"1377","North Thompson",1994,"Mann Cr",111
"1378","North Thompson",1994,"N Thompson R (mid)",1483
"1379","North Thompson",1994,"N Thompson R (upr)",269
"1380","North Thompson",1994,"Paul Cr",10
"1381","North Thompson",1994,"Peterson Cr",5
"1382","North Thompson",1994,"Pig Channel",321
"1383","North Thompson",1994,"Raft R",1247
"1384","North Thompson",1994,"Reg Christie Cr",105
"1385","North Thompson",1994,"Saskum Cr",15
"1386","North Thompson",1994,"Shannon Cr",23
"1387","North Thompson",1994,"Tumtum Cr",8
"1388","North Thompson",1994,"Wire Cache Cr",172
"1389","North Thompson",1995,"Albreda R",1186
"1390","North Thompson",1995,"Avola Cr",166
"1391","North Thompson",1995,"Barriere R",352
"1392","North Thompson",1995,"Barriere R (lwr)",NA
"1393","North Thompson",1995,"Barriere R (upr)",NA
"1394","North Thompson",1995,"Birch Island Channel",105
"1395","North Thompson",1995,"Blue R",911
"1396","North Thompson",1995,"Cedar Cr",77
"1397","North Thompson",1995,"Cook Cr",191
"1398","North Thompson",1995,"Darlington Cr",5
"1399","North Thompson",1995,"Dunn Cr",340
"1400","North Thompson",1995,"E Barriere R",207
"1401","North Thompson",1995,"Fennell Cr",946
"1402","North Thompson",1995,"Finn Cr",12
"1403","North Thompson",1995,"Haggard Cr",13
"1404","North Thompson",1995,"Harper Cr",9
"1405","North Thompson",1995,"Lemieux Cr",1002
"1406","North Thompson",1995,"Lindquist Cr",5
"1407","North Thompson",1995,"Louis Cr",750
"1408","North Thompson",1995,"Lyon Cr",4144
"1409","North Thompson",1995,"Mann Cr",323
"1410","North Thompson",1995,"N Thompson R (mid)",622
"1411","North Thompson",1995,"N Thompson R (upr)",224
"1412","North Thompson",1995,"Paul Cr",8
"1413","North Thompson",1995,"Peterson Cr",5
"1414","North Thompson",1995,"Pig Channel",267
"1415","North Thompson",1995,"Raft R",166
"1416","North Thompson",1995,"Reg Christie Cr",87
"1417","North Thompson",1995,"Saskum Cr",13
"1418","North Thompson",1995,"Shannon Cr",29
"1419","North Thompson",1995,"Tumtum Cr",8
"1420","North Thompson",1995,"Wire Cache Cr",290
"1421","North Thompson",1996,"Albreda R",569
"1422","North Thompson",1996,"Avola Cr",83
"1423","North Thompson",1996,"Barriere R",417
"1424","North Thompson",1996,"Barriere R (lwr)",NA
"1425","North Thompson",1996,"Barriere R (upr)",NA
"1426","North Thompson",1996,"Birch Island Channel",50
"1427","North Thompson",1996,"Blue R",437
"1428","North Thompson",1996,"Cedar Cr",37
"1429","North Thompson",1996,"Cook Cr",92
"1430","North Thompson",1996,"Darlington Cr",2
"1431","North Thompson",1996,"Dunn Cr",150
