"","Pop_Name","Year","SpnForTrend_Total","Pop_ID","CU_ID","CU_Name","DU_ID","SpnForAbd_Total","SpnForAbd_Wild","SpnForTrend_Wild","Species","Recruits_Total","Recruits_Wild"
"139","CHILLIWACK RIVER",1971,160511,"46983","PKO-01","Fraser Pink",NA,160511,160511,160511,"Pink",NA,NA
"140","CHILLIWACK RIVER",1965,188843,"46983","PKO-01","Fraser Pink",NA,188843,188843,188843,"Pink",NA,NA
"141","CHILLIWACK RIVER",1957,212334,"46983","PKO-01","Fraser Pink",NA,212334,212334,212334,"Pink",NA,NA
"142","CHILLIWACK RIVER",1989,327606,"46983","PKO-01","Fraser Pink",NA,327606,327606,327606,"Pink",NA,NA
"143","CHILLIWACK RIVER",1975,80611,"46983","PKO-01","Fraser Pink",NA,80611,80611,80611,"Pink",NA,NA
"144","CHILLIWACK RIVER",1973,209052,"46983","PKO-01","Fraser Pink",NA,209052,209052,209052,"Pink",NA,NA
"145","CHILLIWACK RIVER",1981,68601,"46983","PKO-01","Fraser Pink",NA,68601,68601,68601,"Pink",NA,NA
"146","CHILLIWACK RIVER",1969,91587,"46983","PKO-01","Fraser Pink",NA,91587,91587,91587,"Pink",NA,NA
"147","CHILLIWACK RIVER",1961,188059,"46983","PKO-01","Fraser Pink",NA,188059,188059,188059,"Pink",NA,NA
"148","CHILLIWACK RIVER",1959,91517,"46983","PKO-01","Fraser Pink",NA,91517,91517,91517,"Pink",NA,NA
"149","CHIPMUNK CREEK",1971,330,"44656","PKO-01","Fraser Pink",NA,330,330,330,"Pink",NA,NA
"150","CHURN CREEK",1985,247,"47237","PKO-01","Fraser Pink",NA,247,247,247,"Pink",NA,NA
"151","CHURN CREEK",1987,460,"47237","PKO-01","Fraser Pink",NA,460,460,460,"Pink",NA,NA
"152","CHURN CREEK",1989,2366,"47237","PKO-01","Fraser Pink",NA,2366,2366,2366,"Pink",NA,NA
"153","CHURN CREEK",1991,1979,"47237","PKO-01","Fraser Pink",NA,1979,1979,1979,"Pink",NA,NA
"154","CHURN CREEK",1977,1362,"47237","PKO-01","Fraser Pink",NA,1362,1362,1362,"Pink",NA,NA
"155","CHURN CREEK",1965,5,"47237","PKO-01","Fraser Pink",NA,5,5,5,"Pink",NA,NA
"156","CHURN CREEK",1983,902,"47237","PKO-01","Fraser Pink",NA,902,902,902,"Pink",NA,NA
"157","CHURN CREEK",1979,50,"47237","PKO-01","Fraser Pink",NA,50,50,50,"Pink",NA,NA
"158","CHURN CREEK",1957,16,"47237","PKO-01","Fraser Pink",NA,16,16,16,"Pink",NA,NA
"159","CHURN CREEK",1971,187,"47237","PKO-01","Fraser Pink",NA,187,187,187,"Pink",NA,NA
"160","CHURN CREEK",1981,907,"47237","PKO-01","Fraser Pink",NA,907,907,907,"Pink",NA,NA
"161","CHURN CREEK",1967,244,"47237","PKO-01","Fraser Pink",NA,244,244,244,"Pink",NA,NA
"162","CHURN CREEK",1963,81,"47237","PKO-01","Fraser Pink",NA,81,81,81,"Pink",NA,NA
"163","COQUIHALLA RIVER",1985,118921,"47123","PKO-01","Fraser Pink",NA,118921,118921,118921,"Pink",NA,NA
"164","COQUIHALLA RIVER",1987,6029,"47123","PKO-01","Fraser Pink",NA,6029,6029,6029,"Pink",NA,NA
"165","COQUIHALLA RIVER",1991,69610,"47123","PKO-01","Fraser Pink",NA,69610,69610,69610,"Pink",NA,NA
"166","COQUIHALLA RIVER",1975,5933,"47123","PKO-01","Fraser Pink",NA,5933,5933,5933,"Pink",NA,NA
"167","COQUIHALLA RIVER",1969,2093,"47123","PKO-01","Fraser Pink",NA,2093,2093,2093,"Pink",NA,NA
"168","COQUIHALLA RIVER",1983,29190,"47123","PKO-01","Fraser Pink",NA,29190,29190,29190,"Pink",NA,NA
"169","COQUIHALLA RIVER",1963,14971,"47123","PKO-01","Fraser Pink",NA,14971,14971,14971,"Pink",NA,NA
"170","COQUIHALLA RIVER",1973,11994,"47123","PKO-01","Fraser Pink",NA,11994,11994,11994,"Pink",NA,NA
"171","COQUIHALLA RIVER",1977,2821,"47123","PKO-01","Fraser Pink",NA,2821,2821,2821,"Pink",NA,NA
"172","COQUIHALLA RIVER",1967,3045,"47123","PKO-01","Fraser Pink",NA,3045,3045,3045,"Pink",NA,NA
"173","COQUIHALLA RIVER",1959,16088,"47123","PKO-01","Fraser Pink",NA,16088,16088,16088,"Pink",NA,NA
"174","COQUIHALLA RIVER",1965,3845,"47123","PKO-01","Fraser Pink",NA,3845,3845,3845,"Pink",NA,NA
"175","COQUIHALLA RIVER",1979,16468,"47123","PKO-01","Fraser Pink",NA,16468,16468,16468,"Pink",NA,NA
"176","COQUIHALLA RIVER",1971,16778,"47123","PKO-01","Fraser Pink",NA,16778,16778,16778,"Pink",NA,NA
"177","COQUIHALLA RIVER",1961,7316,"47123","PKO-01","Fraser Pink",NA,7316,7316,7316,"Pink",NA,NA
"178","COQUIHALLA RIVER",1957,6601,"47123","PKO-01","Fraser Pink",NA,6601,6601,6601,"Pink",NA,NA
"179","COQUIHALLA RIVER",1989,13559,"47123","PKO-01","Fraser Pink",NA,13559,13559,13559,"Pink",NA,NA
"180","COQUIHALLA RIVER",1981,24029,"47123","PKO-01","Fraser Pink",NA,24029,24029,24029,"Pink",NA,NA
"181","COQUITLAM RIVER",1961,0,"47909","PKO-01","Fraser Pink",NA,0,0,0,"Pink",NA,NA
"182","COQUITLAM RIVER",1959,0,"47909","PKO-01","Fraser Pink",NA,0,0,0,"Pink",NA,NA
"183","COQUITLAM RIVER",1981,0,"47909","PKO-01","Fraser Pink",NA,0,0,0,"Pink",NA,NA
"184","COQUITLAM RIVER",1957,8,"47909","PKO-01","Fraser Pink",NA,8,8,8,"Pink",NA,NA
"185","DEADMAN RIVER",1985,120,"46212","PKO-01","Fraser Pink",NA,120,120,120,"Pink",NA,NA
"186","DEADMAN RIVER",1987,359,"46212","PKO-01","Fraser Pink",NA,359,359,359,"Pink",NA,NA
"187","DEADMAN RIVER",1989,565,"46212","PKO-01","Fraser Pink",NA,565,565,565,"Pink",NA,NA
"188","DEADMAN RIVER",1991,1616,"46212","PKO-01","Fraser Pink",NA,1616,1616,1616,"Pink",NA,NA
"189","DEADMAN RIVER",1979,86,"46212","PKO-01","Fraser Pink",NA,86,86,86,"Pink",NA,NA
"190","DEADMAN RIVER",1959,0,"46212","PKO-01","Fraser Pink",NA,0,0,0,"Pink",NA,NA
"191","DEADMAN RIVER",1981,419,"46212","PKO-01","Fraser Pink",NA,419,419,419,"Pink",NA,NA
"192","DEADMAN RIVER",1977,185,"46212","PKO-01","Fraser Pink",NA,185,185,185,"Pink",NA,NA
"193","DEADMAN RIVER",1963,101,"46212","PKO-01","Fraser Pink",NA,101,101,101,"Pink",NA,NA
"194","DEADMAN RIVER",1965,39,"46212","PKO-01","Fraser Pink",NA,39,39,39,"Pink",NA,NA
"195","DEADMAN RIVER",1961,8,"46212","PKO-01","Fraser Pink",NA,8,8,8,"Pink",NA,NA
"196","DEADMAN RIVER",1973,0,"46212","PKO-01","Fraser Pink",NA,0,0,0,"Pink",NA,NA
"197","DEADMAN RIVER",1957,629,"46212","PKO-01","Fraser Pink",NA,629,629,629,"Pink",NA,NA
"198","DEADMAN RIVER",1983,601,"46212","PKO-01","Fraser Pink",NA,601,601,601,"Pink",NA,NA
"199","DEADMAN RIVER",1975,2324,"46212","PKO-01","Fraser Pink",NA,2324,2324,2324,"Pink",NA,NA
"200","DEADMAN RIVER",1971,122,"46212","PKO-01","Fraser Pink",NA,122,122,122,"Pink",NA,NA
"201","DEADMAN RIVER",1969,52,"46212","PKO-01","Fraser Pink",NA,52,52,52,"Pink",NA,NA
"202","DEPOT CREEK",1985,0,"47068","PKO-01","Fraser Pink",NA,0,0,0,"Pink",NA,NA
"203","DEPOT CREEK",1991,356,"47068","PKO-01","Fraser Pink",NA,356,356,356,"Pink",NA,NA
"204","DEPOT CREEK",1983,0,"47068","PKO-01","Fraser Pink",NA,0,0,0,"Pink",NA,NA
"205","DEPOT CREEK",1979,546,"47068","PKO-01","Fraser Pink",NA,546,546,546,"Pink",NA,NA
"206","DEPOT CREEK",1963,42,"47068","PKO-01","Fraser Pink",NA,42,42,42,"Pink",NA,NA
"207","DEPOT CREEK",1957,57,"47068","PKO-01","Fraser Pink",NA,57,57,57,"Pink",NA,NA
"208","DEPOT CREEK",1967,21,"47068","PKO-01","Fraser Pink",NA,21,21,21,"Pink",NA,NA
"209","DEPOT CREEK",1965,112,"47068","PKO-01","Fraser Pink",NA,112,112,112,"Pink",NA,NA
"210","DEPOT CREEK",1981,78,"47068","PKO-01","Fraser Pink",NA,78,78,78,"Pink",NA,NA
"211","DEPOT CREEK",1987,107,"47068","PKO-01","Fraser Pink",NA,107,107,107,"Pink",NA,NA
"212","DEPOT CREEK",1989,242,"47068","PKO-01","Fraser Pink",NA,242,242,242,"Pink",NA,NA
"213","DOUGLAS CREEK",1991,50,"46085","PKO-01","Fraser Pink",NA,50,50,50,"Pink",NA,NA
"214","DOUGLAS CREEK",1983,15,"46085","PKO-01","Fraser Pink",NA,15,15,15,"Pink",NA,NA
"215","DOUGLAS CREEK",1959,NA,"46085","PKO-01","Fraser Pink",NA,NA,NA,NA,"Pink",NA,NA
"216","DOUGLAS CREEK",1963,NA,"46085","PKO-01","Fraser Pink",NA,NA,NA,NA,"Pink",NA,NA
"217","DOUGLAS CREEK",1975,25,"46085","PKO-01","Fraser Pink",NA,25,25,25,"Pink",NA,NA
"218","EAGLE RIVER",1991,0,"46362","PKO-01","Fraser Pink",NA,0,0,0,"Pink",NA,NA
"219","EAGLE RIVER",1989,3,"46362","PKO-01","Fraser Pink",NA,3,3,3,"Pink",NA,NA
"220","EAGLE RIVER",1987,2,"46362","PKO-01","Fraser Pink",NA,2,2,2,"Pink",NA,NA
"221","EMORY CREEK",1985,1989,"47145","PKO-01","Fraser Pink",NA,1989,1989,1989,"Pink",NA,NA
"222","EMORY CREEK",1991,1539,"47145","PKO-01","Fraser Pink",NA,1539,1539,1539,"Pink",NA,NA
"223","EMORY CREEK",1965,5,"47145","PKO-01","Fraser Pink",NA,5,5,5,"Pink",NA,NA
"224","EMORY CREEK",1967,10,"47145","PKO-01","Fraser Pink",NA,10,10,10,"Pink",NA,NA
"225","EMORY CREEK",1975,NA,"47145","PKO-01","Fraser Pink",NA,NA,NA,NA,"Pink",NA,NA
"226","EMORY CREEK",1961,22,"47145","PKO-01","Fraser Pink",NA,22,22,22,"Pink",NA,NA
"227","EMORY CREEK",1963,36,"47145","PKO-01","Fraser Pink",NA,36,36,36,"Pink",NA,NA
